# coding=utf-82018-07-24 15:18:20,037 Run.py run[line:42] INFO start run testcase...
2018-07-24 15:21:35,283 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:21:35,284 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:21:35,285 WebGame.py all_agg[line:187] INFO ==========游戏正在初始化······==========
2018-07-24 15:21:35,285 WebGame.py get_fungaming[line:34] INFO ==========进入被测大厅==========
2018-07-24 15:21:35,784 WebGame.py check_game_hall[line:40] INFO ==========检查被测大厅标题==========
2018-07-24 15:21:35,786 WebGame.py check_game_hall[line:50] INFO Game hall title TRUE!
2018-07-24 15:21:35,787 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:21:36,191 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:21:36,405 WebGame.py check_language[line:71] INFO ==========检查多语言选择是否正确==========
2018-07-24 15:21:36,405 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:21:36,652 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:21:36,886 WebGame.py check_language[line:80] INFO Select Language 简体中文 TRUE!
2018-07-24 15:21:36,886 WebGame.py login_user[line:108] INFO ==========登录大厅用户名==========
2018-07-24 15:21:36,886 WebGame.py login_user[line:110] INFO 开始登录
2018-07-24 15:21:37,234 WebGame.py select_free_rotation[line:85] INFO ==========选择非免转/免转==========
2018-07-24 15:21:37,234 WebGame.py select_free_rotation[line:93] INFO 选择非免转
2018-07-24 15:21:37,555 WebGame.py login_user[line:116] INFO 输入用户名-密码
2018-07-24 15:21:37,573 WebGame.py login_user[line:119] INFO UserName is: bx0342
2018-07-24 15:21:37,644 WebGame.py login_user[line:123] INFO PassWord is: 123456
2018-07-24 15:21:37,644 WebGame.py login_user[line:125] INFO 点击登录按钮
2018-07-24 15:24:49,822 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:24:54,510 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:24:54,511 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:24:54,511 WebGame.py all_agg[line:187] INFO ==========游戏正在初始化······==========
2018-07-24 15:24:54,511 WebGame.py get_fungaming[line:34] INFO ==========进入被测大厅==========
2018-07-24 15:24:55,036 WebGame.py check_game_hall[line:40] INFO ==========检查被测大厅标题==========
2018-07-24 15:24:55,039 WebGame.py check_game_hall[line:50] INFO Game hall title TRUE!
2018-07-24 15:24:55,039 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:24:55,468 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:24:55,689 WebGame.py check_language[line:71] INFO ==========检查多语言选择是否正确==========
2018-07-24 15:24:55,689 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:24:55,950 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:24:56,190 WebGame.py check_language[line:80] INFO Select Language 简体中文 TRUE!
2018-07-24 15:24:56,191 WebGame.py login_user[line:108] INFO ==========登录大厅用户名==========
2018-07-24 15:24:56,191 WebGame.py login_user[line:110] INFO 开始登录
2018-07-24 15:24:56,586 WebGame.py select_free_rotation[line:85] INFO ==========选择非免转/免转==========
2018-07-24 15:24:56,587 WebGame.py select_free_rotation[line:93] INFO 选择非免转
2018-07-24 15:24:56,910 WebGame.py login_user[line:116] INFO 输入用户名-密码
2018-07-24 15:24:56,928 WebGame.py login_user[line:119] INFO UserName is: bx0342
2018-07-24 15:24:57,003 WebGame.py login_user[line:123] INFO PassWord is: 123456
2018-07-24 15:24:57,003 WebGame.py login_user[line:125] INFO 点击登录按钮
2018-07-24 15:24:57,344 WebGame.py check_login_status[line:138] INFO ==========检查登录状态==========
2018-07-24 15:24:57,416 WebGame.py check_login_status[line:147] INFO login success!
2018-07-24 15:24:57,416 WebGame.py select_tiger[line:152] INFO ==========切换老虎机标签页==========
2018-07-24 15:24:57,632 WebGame.py lookup_game[line:162] INFO ==========大厅搜索游戏项目==========
2018-07-24 15:24:57,868 WebGame.py lookup_game[line:167] INFO Look Up Game 变形金刚
2018-07-24 15:24:58,129 WebGame.py select_we_game[line:176] INFO ==========选择游戏项目==========
2018-07-24 15:24:58,430 WebGame.py select_we_game[line:184] INFO to Game 变形金刚 success!
2018-07-24 15:24:58,430 Common.py switch_tab_game[line:18] INFO ==========切换游戏标签页==========
2018-07-24 15:24:59,436 WebGame.py all_agg[line:198] INFO ==========加载成功，正在进入游戏······==========
2018-07-24 15:24:59,437 PlayGame.py execute_wait_lading[line:54] INFO ==========集合wait_loading方法==========
2018-07-24 15:24:59,437 PlayGame.py loading_pass[line:12] INFO ==========···等待加载···==========
2018-07-24 15:24:59,437 Common.py wait_for_loading_view_showing[line:36] INFO ==========等待进入加载场景==========
2018-07-24 15:24:59,437 Common.py wait_for_loading_view_showing[line:38] INFO 设置等在时间 30 秒
2018-07-24 15:24:59,437 Common.py wait_for_loading_view_showing[line:40] INFO 开始时间: 2018-07-24 15:24:59.437898
2018-07-24 15:24:59,445 Common.py wait_for_loading_bar_completed[line:76] INFO ==========等待加载完成==========
2018-07-24 15:24:59,445 Common.py wait_for_loading_bar_completed[line:78] INFO 设置等在时间 30 秒
2018-07-24 15:24:59,445 Common.py wait_for_loading_bar_completed[line:80] INFO 开始时间: 2018-07-24 15:24:59.445899
2018-07-24 15:24:59,445 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,450 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.450899
2018-07-24 15:24:59,450 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,450 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,456 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.456899
2018-07-24 15:24:59,456 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,456 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,460 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.460899
2018-07-24 15:24:59,460 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,460 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,464 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.464900
2018-07-24 15:24:59,464 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,464 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,468 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.468900
2018-07-24 15:24:59,468 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,468 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,472 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.472900
2018-07-24 15:24:59,472 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,472 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,477 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.477900
2018-07-24 15:24:59,477 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,477 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,480 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.480901
2018-07-24 15:24:59,480 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,480 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
